0.0913113	2.54977	0	0	0.0913113	2.54977	-0.0047	2.8999	-0.0471	0.9989
-0.0336218	3.70218	0.0294935	0.823572	-0.108367	3.69701	-0.1481	3.6848	-0.294	0.9558
-0.41393	4.01666	-7.24117	1.08395	-0.378701	3.99107	-0.4821	4.4094	-0.5225	0.8526
-0.667942	6.16511	-2.72433	0.92139	-0.907519	4.72891	-0.9859	5.0282	-0.7181	0.6959
-1.73048	5.94112	0.775987	0.795173	-1.80228	5.74472	-1.6277	5.5023	-0.8686	0.4955
-2.19847	6.34651	0.777434	0.788348	-2.17566	5.97502	-2.3672	5.8018	-0.9646	0.2639
-2.60321	6.97719	-4.6854	-0.20267	-2.88012	5.77819	-3.158	5.908	-0.9999	0.0157
-3.75988	6.39048	-0.799179	0.664721	-3.93933	5.26886	-3.9504	5.8143	-0.9724	-0.2334
2.2141	21.9406	1.12955	1.42133	-5.00779	5.64898	-4.6946	5.5264	-0.8838	-0.4679
-21.0207	15.3001	1.31823	1.02302	-4.93547	4.41677	-5.3437	5.0625	-0.7396	-0.673
-6.76072	2.58218	2.19115	2.23713	-5.93542	4.54399	-5.8572	4.4517	-0.549	-0.8358
-6.11748	3.69175	0.980658	0.948337	-6.07652	3.57253	-6.2026	3.7324	-0.3239	-0.9461
-6.62677	3.21128	-1.09421	-0.907695	-6.47255	3.03998	-6.3582	2.9498	-0.0785	-0.9969
-6.10454	1.80241	0.586224	-0.794656	-6.08565	1.83921	-6.3144	2.1531	0.1719	-0.9851
-5.99547	1.54538	0.313931	0.55363	-6.15145	1.60939	-6.0738	1.3924	0.4115	-0.9114
-5.91127	0.776459	-0.133541	-1.626	-5.68944	0.777368	-5.6515	0.7153	0.6252	-0.7804
-1.25272	-37.5533	18.2906	-82.3198	-5.20915	0.0994689	-5.0742	0.1646	0.7997	-0.6004
-144.631	-43.8348	-321.742	-51.1645	-4.69983	-0.331382	-4.378	-0.2253	0.9239	-0.3827
-10.8456	1.8069	-10.8455	61.8553	-3.28677	-0.467847	-3.6068	-0.4298	0.99	-0.1409
244.108	96.6291	640.29	181.746	-3.01136	-0.464036	-2.8089	-0.4361	0.994	0.1097
161.54	-372.158	299.264	-979.7	-1.85398	-0.247275	-2.0345	-0.2437	0.9355	0.3534
351.74	118.154	778.491	258.743	-1.46708	0.163805	-1.3323	0.1352	0.8182	0.575
-58.554	184.748	-154.429	463.362	-0.793703	0.628159	-0.7464	0.6768	0.6495	0.7604
15.238	7.81638	32.689	11.6532	-0.341595	1.62171	-0.3136	1.3471	0.44	0.898
-18.3305	49.7437	-44.0083	115.752	-0.0526157	2.03862	-0.0611	2.104	0.2028	0.9792
36.2474	27.8478	97.5007	37.9782	-0.0295873	3.11316	0	2.9	0.0157	0.9999
-48.8772	107.03	-107.676	234.151	0.20279	4.04462	0.1186	3.689	0.2639	0.9645
79.7456	45.8105	194.478	90.1337	0.563711	4.62457	0.4297	4.4238	0.4955	0.8686
-60.9607	133.334	-149.203	307.23	0.871426	4.35711	0.9138	5.0581	0.6959	0.7181
97.8702	54.8056	237.493	114.7	1.4633	5.60442	1.5404	5.552	0.8527	0.5225
-48.2473	110.462	-124.401	249.721	2.32214	5.90287	2.2702	5.8747	0.9558	0.294
135.452	73.1782	326.42	158.685	3.19109	5.96406	3.0573	6.0057	0.9989	0.0471
-29.8579	77.9889	-82.5317	166.682	4.0017	5.94578	3.8522	5.9368	0.9792	-0.2028
151.663	76.9735	361.831	169.872	4.30465	5.4424	4.605	5.6724	0.898	-0.44
-13.3532	49.7424	-46.1184	96.2527	5.31651	5.04499	5.2685	5.2291	0.7604	-0.6495
5.46704	6.53755	-1.56894	-14.8179	5.3814	5.0163	5.5533	4.9487	0.673	-0.7396
7.26916	3.70945	8.82544	-6.86532	5.8422	4.87109	5.8008	4.6348	0.575	-0.8182
6.27534	3.82698	-10.7276	2.5871	5.6864	4.3579	6.007	4.2923	0.4679	-0.8838
5.74692	5.49592	1.65677	6.44109	6.13526	3.88077	6.1686	3.9267	0.3535	-0.9355
6.18774	5.149	0.211209	-6.27627	6.1124	3.6123	6.2832	3.5437	0.2334	-0.9724
6.48138	3.17206	1.6625	-4.50236	6.41596	3.1692	6.3488	3.1494	0.1097	-0.994
6.68824	2.39165	0.0783931	-0.872179	6.6579	2.6612	6.3645	2.75	-0.0157	-0.9999
6.15453	2.37422	-0.596263	0.438172	6.03669	2.29915	6.33	2.3517	-0.1409	-0.99
6.26645	2.04319	0.770723	-1.28932	6.3013	1.9305	6.2459	1.961	-0.2639	-0.9646
5.81782	1.37086	0.0618449	-1.06447	5.64295	1.3284	6.1134	1.5838	-0.3827	-0.9239
5.79626	1.13348	-0.0941033	-0.404519	5.7934	1.1811	5.9347	1.2262	-0.4955	-0.8686
6.01366	1.0483	-0.352342	-0.495114	6.1121	1.06681	5.7127	0.8938	-0.6004	-0.7997
5.33617	0.846844	-2.7263	-0.599719	5.2628	0.817	5.4507	0.5919	-0.6959	-0.7181
4.81497	0.522576	-0.913699	-0.805128	4.84632	0.504373	5.1529	0.3252	-0.7804	-0.6252
4.68015	0.127923	0.0971737	-1.02707	4.711	0.1198	4.8241	0.0979	-0.8526	-0.5225
4.26948	0.0486681	-0.840846	-0.269436	4.19296	0.0188684	4.4693	-0.0863	-0.9114	-0.4115
3.95316	-0.294602	-0.735483	-1.09453	3.9571	-0.3542	4.0943	-0.2247	-0.9558	-0.294
3.68162	-0.205725	-0.688517	0.17143	3.64408	-0.211229	3.7049	-0.3149	-0.9851	-0.1719
3.22903	-0.341225	-1.42491	-0.518309	3.2082	-0.3844	3.3072	-0.3557	-0.9989	-0.0471
3.27473	-0.65105	-0.727331	-0.369432	3.40951	-0.671994	2.9076	-0.3463	-0.9969	0.0785
2.74287	-0.394848	-1.87994	1.11942	2.7037	-0.271	2.5123	-0.2868	-0.9792	0.2028
2.40392	-0.0605559	-0.654866	0.855034	2.43063	-0.0872972	2.1275	-0.1783	-0.9461	0.3239
