time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445349641	6.53443	-3.13284	-2.42125	2.12855	1.07615	lidar	5.37134	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.61999	-3.27686	-2.4968	2.20456	1.09907	radar	5.17497	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.70063	-3.43468	-2.55391	2.24779	1.07272	lidar	5.40434	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.77639	-3.56034	-2.55895	2.28539	1.04591	radar	2.62713	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.85031	-3.72586	-2.61852	2.30442	1.001	lidar	5.81543	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.9241	-3.85	-2.61156	2.32955	0.96666	radar	2.80832	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	6.98745	-4.02344	-2.6656	2.32655	0.907811	lidar	5.779	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.0462	-4.13613	-2.59533	2.33228	0.852601	radar	10.2408	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.10698	-4.30107	-2.63301	2.32534	0.799036	lidar	3.78014	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.18192	-4.42057	-2.61262	2.34205	0.768555	radar	2.28125	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.23578	-4.59592	-2.64861	2.32149	0.707486	lidar	4.54611	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.34151	-4.73233	-2.7069	2.3531	0.705558	radar	3.73646	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.39923	-4.90903	-2.73672	2.33025	0.646322	lidar	4.07553	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.4773	-5.03238	-2.71724	2.34086	0.619856	radar	1.76516	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
